Region,Product Category,Channel,Customer Segment,Payment Method,Revenue
North America,Sporting Goods,Online,Small Business,Cash,998
North America,Sporting Goods,Wholesale,Small Business,Bank Transfer,3493
North America,Electronics,Wholesale,Small Business,Bank Transfer,271
North America,Electronics,Retail,Small Business,Credit Card,1330
Europe,Home Goods,Retail,Small Business,PayPal,4083
Asia Pacific,Home Goods,Retail,Enterprise,Credit Card,2725
Latin America,Toys,Retail,Consumer,PayPal,235
Latin America,Apparel,Online,Enterprise,Bank Transfer,672
North America,Home Goods,Retail,Small Business,PayPal,732
North America,Home Goods,Online,Consumer,Credit Card,1172
Latin America,Sporting Goods,Wholesale,Small Business,Bank Transfer,2591
Europe,Sporting Goods,Wholesale,Enterprise,Cash,2367
North America,Home Goods,Online,Enterprise,PayPal,1279
Asia Pacific,Electronics,Retail,Small Business,Credit Card,2909
Latin America,Home Goods,Retail,Consumer,Credit Card,716
Latin America,Sporting Goods,Online,Consumer,Credit Card,892
Latin America,Sporting Goods,Online,Consumer,Credit Card,3063
Latin America,Apparel,Online,Enterprise,Cash,424
Europe,Home Goods,Online,Enterprise,PayPal,1355
North America,Home Goods,Retail,Small Business,Credit Card,3644
Latin America,Home Goods,Retail,Small Business,Bank Transfer,606
Europe,Toys,Wholesale,Enterprise,Credit Card,1331
Latin America,Home Goods,Wholesale,Consumer,Cash,4190
Europe,Sporting Goods,Wholesale,Small Business,Bank Transfer,3793
Europe,Home Goods,Retail,Consumer,Bank Transfer,3489
Asia Pacific,Home Goods,Wholesale,Small Business,PayPal,1653
Latin America,Electronics,Online,Small Business,PayPal,2129
Latin America,Electronics,Online,Small Business,Bank Transfer,2365
Europe,Sporting Goods,Wholesale,Consumer,Bank Transfer,2221
Europe,Home Goods,Retail,Consumer,Bank Transfer,879
Asia Pacific,Apparel,Wholesale,Small Business,Bank Transfer,2426
Asia Pacific,Sporting Goods,Retail,Consumer,Cash,314
Europe,Home Goods,Wholesale,Small Business,Cash,1028
Latin America,Toys,Retail,Enterprise,PayPal,3907
Latin America,Toys,Retail,Small Business,PayPal,2668
Latin America,Home Goods,Wholesale,Small Business,Credit Card,466
Latin America,Toys,Online,Small Business,Bank Transfer,3748
